node_1|node_2|edge|chunk_id
Social Support|Deliberate Rumination|social support facilitates deliberate rumination|3e2c7ee781394c8c0bb87c235716d7bf
New Possibilities|Deliberate Rumination|deliberate rumination engages individuals in new possibilities|2c5bedbf29bb0901afa5907dc9d4b653
entrepreneurs|resilience|The research investigates factors and processes that contribute to resilience among entrepreneurs.|928775a9bab348913e0b6640f6cabf63
resilience|post-traumatic growth|The study explores how experiences and challenges shape the capacity for post-traumatic growth in resilient entrepreneurs.|f544bcec0afa4f0bbef1d7696fa0e882
entrepreneurs|challenging environments|The research focuses on entrepreneurs in volatile environments to understand how they develop resilience and post-traumatic growth.|043da57fef3aa18101d1cf1bf666a1df
entrepreneurs|resilience|The research investigates factors and processes that contribute to resilience among entrepreneurs.|928775a9bab348913e0b6640f6cabf63
resilience|post-traumatic growth|The study explores how experiences and challenges shape the capacity for post-traumatic growth in resilient entrepreneurs.|f544bcec0afa4f0bbef1d7696fa0e882
entrepreneurs|challenging environments|The research focuses on entrepreneurs in volatile environments to understand how they develop resilience and post-traumatic growth.|043da57fef3aa18101d1cf1bf666a1df
Resilience|Growth|Resilience and growth are interconnected, promoting post-traumatic growth.|c95c7daa2877184dca144e23e12fbe4b
Entrepreneurship|Programs|Designing entrepreneurship programs for resilience and growth involves developing and testing new strategies.|a535e0cfba9f4c3845ad036dbad38766
Cognitive Flexibility|Resilience|Cognitive flexibility is proposed as a foundation for resilience, enabling adaptation to change and promoting post-traumatic growth.|24afdeef43dda61225a0a53622b9554a
Coping Mechanisms|Humor|Coping mechanisms like humor can be enhanced by cognitive flexibility, leading to improved resilience.|af87d6f90f24a4a81356c9c5db875138
Post-Traumatic Growth|Adaptation|Post-traumatic growth requires adaptation to adversity, which is facilitated by cognitive flexibility and resilience.|878f0705c2afdf880283a4c2e71092a9
Interventions|Cognitive Flexibility|Designing interventions to enhance cognitive flexibility can improve resilience and support post-traumatic growth.|e16d21c57ff604771af19b87d26a89dd
Resilience|Growth|Resilience and growth are interconnected, promoting post-traumatic growth.|c95c7daa2877184dca144e23e12fbe4b
Entrepreneurship|Programs|Designing entrepreneurship programs for resilience and growth involves developing and testing new strategies.|a535e0cfba9f4c3845ad036dbad38766
Cognitive Flexibility|Resilience|Cognitive flexibility is proposed as a foundation for resilience, enabling adaptation to change and promoting post-traumatic growth.|24afdeef43dda61225a0a53622b9554a
Coping Mechanisms|Humor|Coping mechanisms like humor can be enhanced by cognitive flexibility, leading to improved resilience.|af87d6f90f24a4a81356c9c5db875138
Post-Traumatic Growth|Adaptation|Post-traumatic growth requires adaptation to adversity, which is facilitated by cognitive flexibility and resilience.|878f0705c2afdf880283a4c2e71092a9
Interventions|Cognitive Flexibility|Designing interventions to enhance cognitive flexibility can improve resilience and support post-traumatic growth.|e16d21c57ff604771af19b87d26a89dd
cognitive flexibility|resilience|Cognitive flexibility is a foundation for improving resilience.|7a611004d03d37bd82cfe5452dcafa49
adaptability|growth|Interventions can enhance adaptability and growth in the face of adversity.|65cb0ef756e991530e5fd89f8654f6f2
S.C.R.I.B.E.R framework|AI language models like ChatGPT|The S.C.R.I.B.E.R framework harnesses AI language models for self-directed learning and problem-solving.|763f13f675bab1aca92418ee638be0a5
metacognition|learners' ability to think about their own thinking|Metacognition is a critical component of effective self-regulated learning.|1cfb4928a9257572c4844933277eb20d
scaffolding|self-directed learning and problem-solving|The framework uses scaffolding to support self-directed learning and problem-solving.|1958d069b74034181bac383b2d1afaa5
cognitive flexibility|resilience|Cognitive flexibility is a foundation for improving resilience.|7a611004d03d37bd82cfe5452dcafa49
adaptability|growth|Interventions can enhance adaptability and growth in the face of adversity.|65cb0ef756e991530e5fd89f8654f6f2
S.C.R.I.B.E.R framework|AI language models like ChatGPT|The S.C.R.I.B.E.R framework harnesses AI language models for self-directed learning and problem-solving.|763f13f675bab1aca92418ee638be0a5
metacognition|learners' ability to think about their own thinking|Metacognition is a critical component of effective self-regulated learning.|1cfb4928a9257572c4844933277eb20d
scaffolding|self-directed learning and problem-solving|The framework uses scaffolding to support self-directed learning and problem-solving.|1958d069b74034181bac383b2d1afaa5
Metacognition|Self-regulated learning|Recognized as a critical component of effective self-regulated learning.|55a5807addf9df02bf2cbab7289db26b
Scaffolding|Fading|Provides scaffolding through AI-generated templates, guiding questions, and critiques, while encouraging learners to progressively take more control.|6d80884bcf6b917e234b31b65642d01f
Active learning|Inquiry-based learning|Positions learners as active inquirers who iteratively explore, question, and refine their understanding, leading to deeper learning.|ae42a13db2daca86e8931822d29b0c12
Epistemic diversity|Diverse expert perspectives|Exposes learners to multiple ways of knowing through techniques like seeking diverse expert perspectives and entertaining critiques from imagined antagonists.|89f85c38119804f6978204b4723ff9ff
Potential limitations|Self-directedness|Assumes a level of self-directedness and metacognitive awareness that not all learners may possess, requiring more explicit instruction in these skills.|63e3ad949a67a0c46f495a2f5094b83e
AI interactions|Structure|Open-ended nature of AI interactions may pose challenges for learners who prefer more structure.|a132e5e67030d5e1b23152d712aa320e
Metacognition|Self-regulated learning|Recognized as a critical component of effective self-regulated learning.|55a5807addf9df02bf2cbab7289db26b
Scaffolding|Fading|Provides scaffolding through AI-generated templates, guiding questions, and critiques, while encouraging learners to progressively take more control.|6d80884bcf6b917e234b31b65642d01f
Active learning|Inquiry-based learning|Positions learners as active inquirers who iteratively explore, question, and refine their understanding, leading to deeper learning.|ae42a13db2daca86e8931822d29b0c12
Epistemic diversity|Diverse expert perspectives|Exposes learners to multiple ways of knowing through techniques like seeking diverse expert perspectives and entertaining critiques from imagined antagonists.|89f85c38119804f6978204b4723ff9ff
Potential limitations|Self-directedness|Assumes a level of self-directedness and metacognitive awareness that not all learners may possess, requiring more explicit instruction in these skills.|63e3ad949a67a0c46f495a2f5094b83e
AI interactions|Structure|Open-ended nature of AI interactions may pose challenges for learners who prefer more structure.|a132e5e67030d5e1b23152d712aa320e
AI-assisted learning|S.C.R.I.B.E.R|The S.C.R.I.B.E.R framework shows promise as a pedagogically-grounded approach to AI-assisted learning.|c11cce5a0663db0d44255ea525031fa1
Metacognition|Scaffolding|The principles around metacognition, scaffolding, active inquiry, and multiple perspectives align with current learning science.|3ac5fd202b10b38fcaa90673e8cc1425
Inquiry-based learning|Constructivism|Inquiry-Based Learning (Constructivism) Explore diverse ideas in the embedding space|5a02c6184644af86baed3aef332c9de2
Social constructivism|Problem-Based Learning|Problem-Based Learning (Social Constructivism) Utilize embeddings to generate critiques from different perspectives|ae336e3e058d65416d25c4f54d6c1df7
Goal theory|Self-Directed Learning|Use embeddings to identify relevant knowledge areas for goal, as per Self-Directed Learning (Goal Theory)|703e207034a246f4b06768330b1d08fe
AI-assisted learning|S.C.R.I.B.E.R|The S.C.R.I.B.E.R framework shows promise as a pedagogically-grounded approach to AI-assisted learning.|c11cce5a0663db0d44255ea525031fa1
Metacognition|Scaffolding|The principles around metacognition, scaffolding, active inquiry, and multiple perspectives align with current learning science.|3ac5fd202b10b38fcaa90673e8cc1425
Inquiry-based learning|Constructivism|Inquiry-Based Learning (Constructivism) Explore diverse ideas in the embedding space|5a02c6184644af86baed3aef332c9de2
Social constructivism|Problem-Based Learning|Problem-Based Learning (Social Constructivism) Utilize embeddings to generate critiques from different perspectives|ae336e3e058d65416d25c4f54d6c1df7
Goal theory|Self-Directed Learning|Use embeddings to identify relevant knowledge areas for goal, as per Self-Directed Learning (Goal Theory)|703e207034a246f4b06768330b1d08fe
goals|Self-Directed Learning (Goal Theory)|relates to|90cb048245d6e6f8074f62dacc1a2d13
use embeddings|investigate connections|enhances understanding of|ce05c8650bba5e2f73079b6baf84be40
interactive learning|collaborative learning (Connectivism)|builds upon|927c41d334993205e4ea884b4eba1d35
generate reflections|narrative and reflective learning (Reflective Practice)|supports|d69aafe65eb5e010a8d349a5e90fd216
adaptive tutoring|experiential learning (Scaffolding)|utilizes|1299dad300c3a3f2a57d1739380f120d
transparent steps|problem-based learning (Cognitive Load Theory)|breaks down complex problems into|dc22073141096c987be709acaf907537
explore perspectives|interactive and collaborative learning (Social Learning Theory)|simulates diverse approaches|535cb9d7ab70111c2ea18920014261a5
goals|Self-Directed Learning (Goal Theory)|relates to|90cb048245d6e6f8074f62dacc1a2d13
use embeddings|investigate connections|enhances understanding of|ce05c8650bba5e2f73079b6baf84be40
interactive learning|collaborative learning (Connectivism)|builds upon|927c41d334993205e4ea884b4eba1d35
generate reflections|narrative and reflective learning (Reflective Practice)|supports|d69aafe65eb5e010a8d349a5e90fd216
adaptive tutoring|experiential learning (Scaffolding)|utilizes|1299dad300c3a3f2a57d1739380f120d
transparent steps|problem-based learning (Cognitive Load Theory)|breaks down complex problems into|dc22073141096c987be709acaf907537
explore perspectives|interactive and collaborative learning (Social Learning Theory)|simulates diverse approaches|535cb9d7ab70111c2ea18920014261a5
Embedding Advantage|AI|The 'Embedding Advantage' column highlights how embeddings can be used to support and augment human learning, rather than replace it.|6ac31af3ef4d1dc215bdac40613aa67f
SCRIBER Framework|NAVIGATE framework|An assessment of 5 pros and 5 cons for both the SCRIBER and NAVIGATE frameworks|e9a1e49a0e66b8a98502c59b95372d08
Principles|Learning and discovery|Each principle leverages the power of embeddings to enhance learning and discovery.|f6fcf96f85a8c1c96049d79a9a761b96
Knowledge gaps|Diverse ideas|Emphasizes seeking out knowledge gaps and exploring diverse ideas.|ec9252603bca6e94ad5b7d66c4d50b9a
Reflection|Independent thinking|Encourages active reflection and independent thinking.|671693065716e57856a3c61475a6dd62
Constructive criticism|Ideas|Promotes seeking constructive criticism to refine ideas.|a7bd0ddcf5d66dcf4826aaddf7d5dc58
Recursive questioning|Unknown unknowns|Recursive questioning helps learners explore unknown unknowns.|a64edc56f9fbe1346e7599fa6b4f1f96
Process of learning|Goals|The framework may be more focused on the process of learning rather than achieving specific goals.|e0d46cc804bc034e4d7498c8123a93d2
Embedding Advantage|AI|The 'Embedding Advantage' column highlights how embeddings can be used to support and augment human learning, rather than replace it.|6ac31af3ef4d1dc215bdac40613aa67f
SCRIBER Framework|NAVIGATE framework|An assessment of 5 pros and 5 cons for both the SCRIBER and NAVIGATE frameworks|e9a1e49a0e66b8a98502c59b95372d08
Principles|Learning and discovery|Each principle leverages the power of embeddings to enhance learning and discovery.|f6fcf96f85a8c1c96049d79a9a761b96
Knowledge gaps|Diverse ideas|Emphasizes seeking out knowledge gaps and exploring diverse ideas.|ec9252603bca6e94ad5b7d66c4d50b9a
Reflection|Independent thinking|Encourages active reflection and independent thinking.|671693065716e57856a3c61475a6dd62
Constructive criticism|Ideas|Promotes seeking constructive criticism to refine ideas.|a7bd0ddcf5d66dcf4826aaddf7d5dc58
Recursive questioning|Unknown unknowns|Recursive questioning helps learners explore unknown unknowns.|a64edc56f9fbe1346e7599fa6b4f1f96
Process of learning|Goals|The framework may be more focused on the process of learning rather than achieving specific goals.|e0d46cc804bc034e4d7498c8123a93d2
open-ended nature|techniques|relates to|0cfa9a7c38f9bd88a5fa27a8d1bdf90e
AI embeddings|unique advantages|highlighted by|03b7e1a99ae5a874091bb0eeccffddd6
SCRIBER|essence|may not convey|3302be4266925e95c5c6b7bcfbce6cea
NAVIGATE Framework|specific learning goals|focuses on navigating towards|f1aaed22a2c0516556808199910ca602
INSPIRE framework|pedagogical theories|aligned with|db27eadbaed77e2dd2154a7c782acb8b
AI embeddings|advantages|leverages for each principle|0f408835b4389e942c2b725ba2918624
concrete example prompts|actionable|makes it more|48f26b155b9518ef485a56347cfcaa9a
human thinking skills|development|emphasizes the importance of|0864e8baeddd045f2aa511ebb77c89b6
NAVIGATE framework|pedagogical theories|requires a deeper understanding of|61ae219c222566c30c425962642fc0e5
AI embeddings|effective utilization|guidance needed on how to|0e1d1fc42b473f89a2f6ade26b031981
SCRIBER framework|independent reflection|emphasizes the importance of more than|e0b5461612dd5ee4b318e63f679da573
open-ended nature|techniques|relates to|0cfa9a7c38f9bd88a5fa27a8d1bdf90e
AI embeddings|unique advantages|highlighted by|03b7e1a99ae5a874091bb0eeccffddd6
SCRIBER|essence|may not convey|3302be4266925e95c5c6b7bcfbce6cea
NAVIGATE Framework|specific learning goals|focuses on navigating towards|f1aaed22a2c0516556808199910ca602
INSPIRE framework|pedagogical theories|aligned with|db27eadbaed77e2dd2154a7c782acb8b
AI embeddings|advantages|leverages for each principle|0f408835b4389e942c2b725ba2918624
concrete example prompts|actionable|makes it more|48f26b155b9518ef485a56347cfcaa9a
human thinking skills|development|emphasizes the importance of|0864e8baeddd045f2aa511ebb77c89b6
NAVIGATE framework|pedagogical theories|requires a deeper understanding of|61ae219c222566c30c425962642fc0e5
AI embeddings|effective utilization|guidance needed on how to|0e1d1fc42b473f89a2f6ade26b031981
SCRIBER framework|independent reflection|emphasizes the importance of more than|e0b5461612dd5ee4b318e63f679da573
AI embeddings|language models|are used together to highlight the unique advantages of using language models for learning|0a8535f65797bf97e4bb91a1f5951d30
concrete example prompts|framework|make the framework more actionable and easier to implement for learners|76ddd8ca59e89b64f14134360dc0afa1
human thinking skills|AI|the development of human thinking skills is emphasized as a way to address concerns about over-reliance on AI|055078d3441c36c65fa5020417e7f82c
INSPIRE framework|SCRIBER framework|both frameworks have their merits, and the choice may depend on the specific learning context and the preferences of the learners|782d07d6da68ec76bc00be55604a6791
open-ended exploration|independent reflection|are emphasized as key aspects of the SCRIBER framework's approach to AI-assisted learning|54fa13243eabfe079bc7f6211c0fdf24
WANDER framework|play-based learning|emphasizes playful exploration and discovery rather than specific goal orientation in AI-assisted learning|96edd47753b32f93aee0a9524d6759f7
AI embeddings|language models|are used together to highlight the unique advantages of using language models for learning|0a8535f65797bf97e4bb91a1f5951d30
concrete example prompts|framework|make the framework more actionable and easier to implement for learners|76ddd8ca59e89b64f14134360dc0afa1
human thinking skills|AI|the development of human thinking skills is emphasized as a way to address concerns about over-reliance on AI|055078d3441c36c65fa5020417e7f82c
INSPIRE framework|SCRIBER framework|both frameworks have their merits, and the choice may depend on the specific learning context and the preferences of the learners|782d07d6da68ec76bc00be55604a6791
open-ended exploration|independent reflection|are emphasized as key aspects of the SCRIBER framework's approach to AI-assisted learning|54fa13243eabfe079bc7f6211c0fdf24
WANDER framework|play-based learning|emphasizes playful exploration and discovery rather than specific goal orientation in AI-assisted learning|96edd47753b32f93aee0a9524d6759f7
AI-assisted learning|goal orientation|The concept of goal orientation can be a valuable approach to AI-assisted learning.|f8f274296f90546c5bd59bc832481305
WANDER Framework|practical tactic|The WANDER Framework proposes a set of practical tactics for AI-assisted learning.|0db462c15e40688a906c1994b7185db3
WANDER Principle|pedagogical underpinning|The WANDER Principle is grounded in pedagogical underpinnings that emphasize playful exploration and witnessing experiences.|2688fc55994001a14f7162cc5a16a3c1
inspire|alignment|INSPIRE, one of the WANDER principles, emphasizes alignment with pedagogical underpinnings.|53e5b1a948f947e8ed7728cea07698d0
absorb experiences|experiential learning|Absorb Experiences is an example of experiential learning (discovery learning) in the WANDER Framework.|6e09f714b488e59b9a6cfa823ce35ff3
nurture curiosity|inquiry-based learning|Nurture Curiosity is an example of inquiry-based learning (constructivism) in the WANDER Framework.|ad6ff888db1f8eac45e9748c9e191466
detect patterns|inductive learning|Detect Patterns is an example of inductive learning (pattern recognition) in the WANDER Framework.|4e6d0c9a193fbb7129890f287d4ce675
embrace serendipity|incidental learning|Embrace Serendipity is an example of incidental learning (opportunistic learning) in the WANDER Framework.|ec629f0002678c22164057921f6894a3
reflect playfully|reflective learning|Reflect Playfully is an example of reflective learning (metacognition) in the WANDER Framework.|aa4fca96cb80b4fc142c996eae9edce4
AI-assisted learning|goal orientation|The concept of goal orientation can be a valuable approach to AI-assisted learning.|f8f274296f90546c5bd59bc832481305
WANDER Framework|practical tactic|The WANDER Framework proposes a set of practical tactics for AI-assisted learning.|0db462c15e40688a906c1994b7185db3
WANDER Principle|pedagogical underpinning|The WANDER Principle is grounded in pedagogical underpinnings that emphasize playful exploration and witnessing experiences.|2688fc55994001a14f7162cc5a16a3c1
inspire|alignment|INSPIRE, one of the WANDER principles, emphasizes alignment with pedagogical underpinnings.|53e5b1a948f947e8ed7728cea07698d0
absorb experiences|experiential learning|Absorb Experiences is an example of experiential learning (discovery learning) in the WANDER Framework.|6e09f714b488e59b9a6cfa823ce35ff3
nurture curiosity|inquiry-based learning|Nurture Curiosity is an example of inquiry-based learning (constructivism) in the WANDER Framework.|ad6ff888db1f8eac45e9748c9e191466
detect patterns|inductive learning|Detect Patterns is an example of inductive learning (pattern recognition) in the WANDER Framework.|4e6d0c9a193fbb7129890f287d4ce675
embrace serendipity|incidental learning|Embrace Serendipity is an example of incidental learning (opportunistic learning) in the WANDER Framework.|ec629f0002678c22164057921f6894a3
reflect playfully|reflective learning|Reflect Playfully is an example of reflective learning (metacognition) in the WANDER Framework.|aa4fca96cb80b4fc142c996eae9edce4
embeddings|reflection prompts|used to generate engaging|d86896cc8e889743313388ac098641b7
WANDER framework|principles and tactics|emphasize open-ended exploration, immersive experiences, and embracing serendipity|b43837bd99f3b0411c492c16e6288f13
sense of wonder|curiosity|and playful discovery are fostered as learners engage with AI-generated content|7413f27b29e0982396a35f9a997e1f45
AI-generated content|learners|engage with|46f2e73736bb8b7a0806f67ee2bc13fe
INSPIRE Alignment & Pedagogical Underpinning|experiential learning|connects well with the WANDER framework|7367e44717a3c5be9915c461efca4d7b
narrative learning|inquiry-based learning|and inductive learning align well with the playful, exploratory nature of the WANDER framework|209af3f4be5e8a24ff105c031f4ab0c2
incidental learning|reflective learning|align well with the WANDER framework|5f03bc93d08edcd2d8a8f108e28d1ff4
Embedding Advantage|novel connections|showcases how AI embeddings can be leveraged to generate|9ffc2d254df5487d6ac35e967e1ee954
immersive experiences|thought-provoking questions|surface and facilitate serendipitous discoveries|9563240210260b39ccb71508929612af
WANDER framework|open-ended exploration|allows learners to explore the vast landscape of knowledge in a playful and unstructured manner|ad7b18a7e848d760df46badfebebad3b
learners|learning goals|can emerge as they discover areas of interest and decide to delve deeper|7b851c679a82f1009afba84c6fa45422
NAVIGATE framework|WANDER framework|is offered alongside the WANDER framework, allowing learners to choose the approach that best suits their learning|b4403964e8dad6de1c94774877eb83d6
embeddings|reflection prompts|used to generate engaging|d86896cc8e889743313388ac098641b7
WANDER framework|principles and tactics|emphasize open-ended exploration, immersive experiences, and embracing serendipity|b43837bd99f3b0411c492c16e6288f13
sense of wonder|curiosity|and playful discovery are fostered as learners engage with AI-generated content|7413f27b29e0982396a35f9a997e1f45
AI-generated content|learners|engage with|46f2e73736bb8b7a0806f67ee2bc13fe
INSPIRE Alignment & Pedagogical Underpinning|experiential learning|connects well with the WANDER framework|7367e44717a3c5be9915c461efca4d7b
narrative learning|inquiry-based learning|and inductive learning align well with the playful, exploratory nature of the WANDER framework|209af3f4be5e8a24ff105c031f4ab0c2
incidental learning|reflective learning|align well with the WANDER framework|5f03bc93d08edcd2d8a8f108e28d1ff4
Embedding Advantage|novel connections|showcases how AI embeddings can be leveraged to generate|9ffc2d254df5487d6ac35e967e1ee954
immersive experiences|thought-provoking questions|surface and facilitate serendipitous discoveries|9563240210260b39ccb71508929612af
WANDER framework|open-ended exploration|allows learners to explore the vast landscape of knowledge in a playful and unstructured manner|ad7b18a7e848d760df46badfebebad3b
learners|learning goals|can emerge as they discover areas of interest and decide to delve deeper|7b851c679a82f1009afba84c6fa45422
NAVIGATE framework|WANDER framework|is offered alongside the WANDER framework, allowing learners to choose the approach that best suits their learning|b4403964e8dad6de1c94774877eb83d6
WANDER|NAVIGATE|offers a structured, goal-oriented approach vs an open-ended, exploratory environment|c0dc92cf6cab9b99838877df368d1b27
WANDER|QUEST|forms a balanced, interconnected approach to AI-assisted learning with a focus on structured exploration|3ab68685f1f3f7f6c69fde912c831a8c
INSPIRE|NAVIGATE|complements by providing alignment and pedagogical underpinning for purposeful learning|1a75c63d325fc5b0ff04402ca5b01b31
QUEST|Inquiry-Based Learning (Problem-Based Learning)|uses embeddings to generate targeted, purposeful questions for understanding a topic|ccb231a8945fd7ce68c55509d5f98408
QUEST|Experiential Learning (Challenge-Based)|undertakes challenges to help master a skill through a series of practical tactics|6484973b47feab2af7242a665ccb6b1a
WANDER|NAVIGATE|offers a structured, goal-oriented approach vs an open-ended, exploratory environment|c0dc92cf6cab9b99838877df368d1b27
WANDER|QUEST|forms a balanced, interconnected approach to AI-assisted learning with a focus on structured exploration|3ab68685f1f3f7f6c69fde912c831a8c
INSPIRE|NAVIGATE|complements by providing alignment and pedagogical underpinning for purposeful learning|1a75c63d325fc5b0ff04402ca5b01b31
QUEST|Inquiry-Based Learning (Problem-Based Learning)|uses embeddings to generate targeted, purposeful questions for understanding a topic|ccb231a8945fd7ce68c55509d5f98408
QUEST|Experiential Learning (Challenge-Based)|undertakes challenges to help master a skill through a series of practical tactics|6484973b47feab2af7242a665ccb6b1a
Purposeful questions|Challenges|related as they are part of the same framework for learning (QUEST)|f832d57a8ab7b24360812f3f77370ce4
Experiential Learning|Challenge-Based Learning|same concept, used interchangeably|ff969da238d05b391f109ec841eee309
Strategies|Learning|related as they are part of the same context (Metacognitive Strategies)|8283cc12b1197baa40b5350fd63f661f
Guidance|Scaffolding|related as they are part of the same concept (Zone of Proximal Development)|e09a318641e6a8b8f48ae4aa9573b869
Knowledge Integration|Constructivist Learning|same concept, used interchangeably|6978c4c7990f21a096c72fc602907237
Progress|Assessment|related as they are part of the same concept (Formative Assessment)|cb78731c4eb42637c720d189849754e0
QUEST framework|WANDER framework|complementary frameworks for learning|518e78f1b741958db3f1687c1a9ea6b4
Purposeful questions|Challenges|related as they are part of the same framework for learning (QUEST)|f832d57a8ab7b24360812f3f77370ce4
Experiential Learning|Challenge-Based Learning|same concept, used interchangeably|ff969da238d05b391f109ec841eee309
Strategies|Learning|related as they are part of the same context (Metacognitive Strategies)|8283cc12b1197baa40b5350fd63f661f
Guidance|Scaffolding|related as they are part of the same concept (Zone of Proximal Development)|e09a318641e6a8b8f48ae4aa9573b869
Knowledge Integration|Constructivist Learning|same concept, used interchangeably|6978c4c7990f21a096c72fc602907237
Progress|Assessment|related as they are part of the same concept (Formative Assessment)|cb78731c4eb42637c720d189849754e0
QUEST framework|WANDER framework|complementary frameworks for learning|518e78f1b741958db3f1687c1a9ea6b4
Inquiry-based learning|Alignment & Pedagogical Underpinning|The connections to inquiry-based learning highlight the pedagogical underpinning.|0678f5c9e57775eb72ea53b1874a590e
Experiential learning|Constructivist learning|Both experiential and constructivist learning approaches align with the QUEST framework.|ba2cfecd81adaa1bef810467c83afdac
Scaffolded learning|Formative assessment|The pedagogical approaches of scaffolded learning and formative assessment are highlighted in the 'Alignment & Pedagogical Underpinning' column.|508bcd37e4a53a38656b86d0294dcb7f
Constructivist learning|Quest framework|The constructivist learning approach aligns with the QUEST framework's focus on goal-oriented learning.|a78ecd95dec2f44bbbcc163b3c84d671
AI embeddings|QUEST framework|The 'Embedding Advantage' column showcases how AI embeddings can be used to generate targeted questions and provide personalized guidance in the QUEST framework.|c3df125be9edaa75e1216eee9fc50436
WANDER framework|QUEST framework|The two frameworks, WANDER and QUEST, are interconnected, allowing learners to oscillate between playful exploration and purposeful inquiry.|9133716dead49976d5da24cff169ff10
Playful exploration (WANDER)|Purposeful inquiry (QUEST)|Learners can engage in both serendipitous discovery and focused skill development by alternating between WANDER and QUEST.|5777df9bf69f721b23abad5ccd50a51d
Inquiry-based learning|Alignment & Pedagogical Underpinning|The connections to inquiry-based learning highlight the pedagogical underpinning.|0678f5c9e57775eb72ea53b1874a590e
Experiential learning|Constructivist learning|Both experiential and constructivist learning approaches align with the QUEST framework.|ba2cfecd81adaa1bef810467c83afdac
Scaffolded learning|Formative assessment|The pedagogical approaches of scaffolded learning and formative assessment are highlighted in the 'Alignment & Pedagogical Underpinning' column.|508bcd37e4a53a38656b86d0294dcb7f
Constructivist learning|Quest framework|The constructivist learning approach aligns with the QUEST framework's focus on goal-oriented learning.|a78ecd95dec2f44bbbcc163b3c84d671
AI embeddings|QUEST framework|The 'Embedding Advantage' column showcases how AI embeddings can be used to generate targeted questions and provide personalized guidance in the QUEST framework.|c3df125be9edaa75e1216eee9fc50436
WANDER framework|QUEST framework|The two frameworks, WANDER and QUEST, are interconnected, allowing learners to oscillate between playful exploration and purposeful inquiry.|9133716dead49976d5da24cff169ff10
Playful exploration (WANDER)|Purposeful inquiry (QUEST)|Learners can engage in both serendipitous discovery and focused skill development by alternating between WANDER and QUEST.|5777df9bf69f721b23abad5ccd50a51d
Adaptive learning|Open-ended exploration|accommodates changing needs and interests|762881caedce0ce574eae93f1206dee9
Open-ended exploration|Structured inquiry|balance between both approaches|0a9e77ee5b8f56ca905b77e223ad8614
Interactive & Collaborative Learning (Social Constructivism)|Experiential Learning|facilitates meaningful connections and collaborations|8cb8510705a4c5e4cc62977f16401b28
Dialogic Learning|Interactive & Collaborative Learning (Social Constructivism)|understanding topics from multiple perspectives through dialogue|2a923941dbee5644ed1dfbe3c7fd51a5
Adaptive learning|Open-ended exploration|accommodates changing needs and interests|762881caedce0ce574eae93f1206dee9
Open-ended exploration|Structured inquiry|balance between both approaches|0a9e77ee5b8f56ca905b77e223ad8614
Interactive & Collaborative Learning (Social Constructivism)|Experiential Learning|facilitates meaningful connections and collaborations|8cb8510705a4c5e4cc62977f16401b28
Dialogic Learning|Interactive & Collaborative Learning (Social Constructivism)|understanding topics from multiple perspectives through dialogue|2a923941dbee5644ed1dfbe3c7fd51a5
Negotiate|Meaning|relationship between Negotiate and Meaning, as Negotiate is about gaining understanding through dialogue, which involves negotiating meaning.|2ea1e9aeccb4101bf42e539ea6ba0fc0
Dialogic Learning|Intersubjectivity|relationship between Dialogic Learning and Intersubjectivity, as Dialogic Learning emphasizes intersubjective understanding.|788a491973dfe1449f6883fb8b7b9bc6
Leverage|embeddings|relationship between Leverage and embeddings, as leverage implies utilizing embeddings for diverse viewpoints generation.|7e3f57cf724cf92fcf54ca1bed71b06c
Complexity|Problem-Based Learning|relationship between Complexity and Problem-Based Learning, as grappling with complexity involves presenting real-world problems to solve.|96d2d938ac9f08e1b972b6f8ce3c1b6b
Authentic Learning|Experiential Learning|relationship between Authentic Learning and Experiential Learning, as both emphasize learning through practical experiences.|32484eca8e947f9b357d5931fcf3b566
Project-Based Learning|Knowledge|relationship between Project-Based Learning and Knowledge, as applying learned knowledge involves guiding learners in a practical project.|de816ad8822466ee0043c9cf22d64286
Reflective Learning|Metacognition|relationship between Reflective Learning and Metacognition, as reflecting on learning experiences involves harnessing embeddings to prompt insightful reflections.|82d75a801da0544020aa82c347a4e316
Transformative Learning|Boundary Crossing|relationship between Transformative Learning and Boundary Crossing, as extending learning boundaries involves identifying opportunities for growth and transformation.|0eb1eaf9b2636450d38940ecfcfb6ba9
ENGAGE|WANDER|relationship between ENGAGE and WANDER, as ENGAGE emphasizes interactive, collaborative, and experiential learning, while WANDER encourages curiosity-driven exploration.|624d3db3b8f7118125adbb810c52d097
QUEST|Wonder|relationship between QUEST and Wonder, as both frameworks encourage learners to explore and discover new concepts.|3576f181f8261b6cf5c65fa10a380a75
Negotiate|Meaning|relationship between Negotiate and Meaning, as Negotiate is about gaining understanding through dialogue, which involves negotiating meaning.|2ea1e9aeccb4101bf42e539ea6ba0fc0
Dialogic Learning|Intersubjectivity|relationship between Dialogic Learning and Intersubjectivity, as Dialogic Learning emphasizes intersubjective understanding.|788a491973dfe1449f6883fb8b7b9bc6
Leverage|embeddings|relationship between Leverage and embeddings, as leverage implies utilizing embeddings for diverse viewpoints generation.|7e3f57cf724cf92fcf54ca1bed71b06c
Complexity|Problem-Based Learning|relationship between Complexity and Problem-Based Learning, as grappling with complexity involves presenting real-world problems to solve.|96d2d938ac9f08e1b972b6f8ce3c1b6b
